Row,Column,*Target Name,*Sample Name
A,1,MCP,
A,2,MCP,
A,3,MCP,
A,4,MCP,
A,5,MCP,
A,6,MCP,
A,7,MCP,C2-6
A,8,MCP,E5-9
A,9,MCP,N2-1
A,10,MCP,I7-15
A,11,MCP,K7-28
A,12,MCP,P6-4
B,1,MCP,
B,2,MCP,
B,3,MCP,
B,4,MCP,
B,5,MCP,
B,6,MCP,
B,7,MCP,C2-6
B,8,MCP,E5-9
B,9,MCP,N2-1
B,10,MCP,I7-15
B,11,MCP,K7-28
B,12,MCP,P6-4
C,1,MCP,B7-6
C,2,MCP,O5-3
C,3,MCP,R7-2
C,4,MCP,M4-10
C,5,MCP,F5-12
C,6,MCP,H2-4
C,7,MCP,L1-15
C,8,MCP,M4-3
C,9,MCP,L2-11
C,10,MCP,N4-18
C,11,MCP,I1-22
C,12,MCP,F2-27
D,1,MCP,B7-6
D,2,MCP,O5-3
D,3,MCP,R7-2
D,4,MCP,M4-10
D,5,MCP,F5-12
D,6,MCP,H2-4
D,7,MCP,L1-15
D,8,MCP,M4-3
D,9,MCP,L2-11
D,10,MCP,N4-18
D,11,MCP,I1-22
D,12,MCP,F2-27
E,1,MCP,E4-2
E,2,MCP,E6-16
E,3,MCP,J7-1
E,4,MCP,C6-8
E,5,MCP,B5-16
E,6,MCP,P4-4
E,7,MCP,K6-16
E,8,MCP,A4-1
E,9,MCP,G4-5
E,10,MCP,C3-23
E,11,MCP,N3-3
E,12,MCP,K1-5
F,1,MCP,E4-2
F,2,MCP,E6-16
F,3,MCP,J7-1
F,4,MCP,C6-8
F,5,MCP,B5-16
F,6,MCP,P4-4
F,7,MCP,K6-16
F,8,MCP,A4-1
F,9,MCP,G4-5
F,10,MCP,C3-23
F,11,MCP,N3-3
F,12,MCP,K1-5
G,1,MCP,C7-15
G,2,MCP,C4-32
G,3,MCP,I6-18
G,4,MCP,K4-20
G,5,MCP,B5-17
G,6,MCP,K6-27
G,7,MCP,F5-11
G,8,MCP,C3-19
G,9,MCP,E5-4
G,10,MCP,H3-7
G,11,MCP,K7-15
G,12,MCP,F1-10
H,1,MCP,C7-15
H,2,MCP,C4-32
H,3,MCP,I6-18
H,4,MCP,K4-20
H,5,MCP,B5-17
H,6,MCP,K6-27
H,7,MCP,F5-11
H,8,MCP,C3-19
H,9,MCP,E5-4
H,10,MCP,H3-7
H,11,MCP,K7-15
H,12,MCP,F1-10
