Row,Column,*Target Name,*Sample Name
A,1,MCP,
A,2,MCP,
A,3,MCP,
A,4,MCP,
A,5,MCP,
A,6,MCP,
A,7,MCP,H5-5
A,8,MCP,Q6-3
A,9,MCP,E3-8
A,10,MCP,L4-5
A,11,MCP,C3-20
A,12,MCP,I2-13
B,1,MCP,
B,2,MCP,
B,3,MCP,
B,4,MCP,
B,5,MCP,
B,6,MCP,
B,7,MCP,H5-5
B,8,MCP,Q6-3
B,9,MCP,E3-8
B,10,MCP,L4-5
B,11,MCP,C3-20
B,12,MCP,I2-13
C,1,MCP,F5-25
C,2,MCP,C7-9
C,3,MCP,Q4-17
C,4,MCP,K2-6
C,5,MCP,F2-14
C,6,MCP,E2-2
C,7,MCP,N6-4
C,8,MCP,I4-11
C,9,MCP,P4-3
C,10,MCP,O3-1
C,11,MCP,C5-13
C,12,MCP,B4-17
D,1,MCP,F5-25
D,2,MCP,C7-9
D,3,MCP,Q4-17
D,4,MCP,K2-6
D,5,MCP,F2-14
D,6,MCP,E2-2
D,7,MCP,N6-4
D,8,MCP,I4-11
D,9,MCP,P4-3
D,10,MCP,O3-1
D,11,MCP,C5-13
D,12,MCP,B4-17
E,1,MCP,K4-12
E,2,MCP,E5-6
E,3,MCP,D6-12
E,4,MCP,N7-30
E,5,MCP,Q3-9
E,6,MCP,G4-17
E,7,MCP,I2-16
E,8,MCP,J2-2
E,9,MCP,R7-3
E,10,MCP,B4-2
E,11,MCP,N2-10
E,12,MCP,Q4-19
F,1,MCP,K4-12
F,2,MCP,E5-6
F,3,MCP,D6-12
F,4,MCP,N7-30
F,5,MCP,Q3-9
F,6,MCP,G4-17
F,7,MCP,I2-16
F,8,MCP,J2-2
F,9,MCP,R7-3
F,10,MCP,B4-2
F,11,MCP,N2-10
F,12,MCP,Q4-19
G,1,MCP,K6-24
G,2,MCP,I1-10
G,3,MCP,C2-1
G,4,MCP,H5-7
G,5,MCP,H6-7
G,6,MCP,A3-10
G,7,MCP,M4-14
G,8,MCP,I4-19
G,9,MCP,E4-9
G,10,MCP,N6-1
G,11,MCP,F7-14
G,12,MCP,O2-12
H,1,MCP,K6-24
H,2,MCP,I1-10
H,3,MCP,C2-1
H,4,MCP,H5-7
H,5,MCP,H6-7
H,6,MCP,A3-10
H,7,MCP,M4-14
H,8,MCP,I4-19
H,9,MCP,E4-9
H,10,MCP,N6-1
H,11,MCP,F7-14
H,12,MCP,O2-12
