Row,Column,*Target Name,*Sample Name
A,1,MCP,
A,2,MCP,
A,3,MCP,
A,4,MCP,
A,5,MCP,
A,6,MCP,
A,7,MCP,F6-29
A,8,MCP,A5-13
A,9,MCP,I4-23
A,10,MCP,L1-10
A,11,MCP,E6-13
A,12,MCP,G6-2
B,1,MCP,
B,2,MCP,
B,3,MCP,
B,4,MCP,
B,5,MCP,
B,6,MCP,
B,7,MCP,F6-29
B,8,MCP,A5-13
B,9,MCP,I4-23
B,10,MCP,L1-10
B,11,MCP,E6-13
B,12,MCP,G6-2
C,1,MCP,A2-2
C,2,MCP,B5-24
C,3,MCP,M4-12
C,4,MCP,L2-6
C,5,MCP,Q6-28
C,6,MCP,A2-7
C,7,MCP,I2-26
C,8,MCP,C4-25
C,9,MCP,K2-1
C,10,MCP,M2-3
C,11,MCP,B6-18
C,12,MCP,A4-23
D,1,MCP,A2-2
D,2,MCP,B5-24
D,3,MCP,M4-12
D,4,MCP,L2-6
D,5,MCP,Q6-28
D,6,MCP,A2-7
D,7,MCP,I2-26
D,8,MCP,C4-25
D,9,MCP,K2-1
D,10,MCP,M2-3
D,11,MCP,B6-18
D,12,MCP,A4-23
E,1,MCP,M3-4
E,2,MCP,K7-12
E,3,MCP,B2-18
E,4,MCP,N2-17
E,5,MCP,H2-10
E,6,MCP,B5-12
E,7,MCP,R7-11
E,8,MCP,E5-19
E,9,MCP,F7-9
E,10,MCP,C1-7
E,11,MCP,F2-25
E,12,MCP,D4-4
F,1,MCP,M3-4
F,2,MCP,K7-12
F,3,MCP,B2-18
F,4,MCP,N2-17
F,5,MCP,H2-10
F,6,MCP,B5-12
F,7,MCP,R7-11
F,8,MCP,E5-19
F,9,MCP,F7-9
F,10,MCP,C1-7
F,11,MCP,F2-25
F,12,MCP,D4-4
G,1,MCP,C1-2
G,2,MCP,C5-7
G,3,MCP,C7-7
G,4,MCP,R3-1
G,5,MCP,Q3-27
G,6,MCP,Q5-15
G,7,MCP,N7-22
G,8,MCP,C6-18
G,9,MCP,N3-2
G,10,MCP,C4-1
G,11,MCP,C7-2
G,12,MCP,N2-7
H,1,MCP,C1-2
H,2,MCP,C5-7
H,3,MCP,C7-7
H,4,MCP,R3-1
H,5,MCP,Q3-27
H,6,MCP,Q5-15
H,7,MCP,N7-22
H,8,MCP,C6-18
H,9,MCP,N3-2
H,10,MCP,C4-1
H,11,MCP,C7-2
H,12,MCP,N2-7
