Row,Column,*Target Name,*Sample Name
A,1,MCP,
A,2,MCP,
A,3,MCP,
A,4,MCP,
A,5,MCP,
A,6,MCP,
A,7,MCP,N2-1-30
A,8,MCP,V2-1-16
A,9,MCP,U2-1-30
A,10,MCP,Y2-1-34
A,11,MCP,J2-1-19
A,12,MCP,C2-1-13
B,1,MCP,
B,2,MCP,
B,3,MCP,
B,4,MCP,
B,5,MCP,
B,6,MCP,
B,7,MCP,N2-1-30
B,8,MCP,V2-1-16
B,9,MCP,U2-1-30
B,10,MCP,Y2-1-34
B,11,MCP,J2-1-19
B,12,MCP,C2-1-13
C,1,MCP,I2-1-10
C,2,MCP,P2-1-4
C,3,MCP,BB2-1-11
C,4,MCP,AA2-1-13
C,5,MCP,I2-1-31
C,6,MCP,I2-1-33
C,7,MCP,P2-1-10
C,8,MCP,A2-1-9
C,9,MCP,K2-1-12
C,10,MCP,C2-1-16
C,11,MCP,W2-1-4
C,12,MCP,F2-1-13
D,1,MCP,I2-1-10
D,2,MCP,P2-1-4
D,3,MCP,BB2-1-11
D,4,MCP,AA2-1-13
D,5,MCP,I2-1-31
D,6,MCP,I2-1-33
D,7,MCP,P2-1-10
D,8,MCP,A2-1-9
D,9,MCP,K2-1-12
D,10,MCP,C2-1-16
D,11,MCP,W2-1-4
D,12,MCP,F2-1-13
E,1,MCP,L2-1-3
E,2,MCP,C2-1-8
E,3,MCP,Z2-1-4
E,4,MCP,F2-1-5
E,5,MCP,J2-1-7
E,6,MCP,Q2-1-25
E,7,MCP,R2-1-1
E,8,MCP,E2-1-18
E,9,MCP,X2-1-25
E,10,MCP,C2-1-25
E,11,MCP,U2-1-7
E,12,MCP,N2-1-18
F,1,MCP,L2-1-3
F,2,MCP,C2-1-8
F,3,MCP,Z2-1-4
F,4,MCP,F2-1-5
F,5,MCP,J2-1-7
F,6,MCP,Q2-1-25
F,7,MCP,R2-1-1
F,8,MCP,E2-1-18
F,9,MCP,X2-1-25
F,10,MCP,C2-1-25
F,11,MCP,U2-1-7
F,12,MCP,N2-1-18
G,1,MCP,P2-1-6
G,2,MCP,C2-1-19
G,3,MCP,AA2-1-30
G,4,MCP,J2-1-4
G,5,MCP,CC2-1-31
G,6,MCP,C2-1-27
G,7,MCP,CC2-1-13
G,8,MCP,Q2-1-23
G,9,MCP,X2-1-7
G,10,MCP,Q2-1-13
G,11,MCP,Y2-1-1
G,12,MCP,J2-1-1
H,1,MCP,P2-1-6
H,2,MCP,C2-1-19
H,3,MCP,AA2-1-30
H,4,MCP,J2-1-4
H,5,MCP,CC2-1-31
H,6,MCP,C2-1-27
H,7,MCP,CC2-1-13
H,8,MCP,Q2-1-23
H,9,MCP,X2-1-7
H,10,MCP,Q2-1-13
H,11,MCP,Y2-1-1
H,12,MCP,J2-1-1
